Location,Coordinates
"Fort Myer, Virginia","(38.8971379, -77.0724585)"
"Juvisy-sur-Orge, France","(48.6904063, 2.373809)"
"Atlantic City, New Jersey","(39.3642852, -74.4229351)"
"Victoria, British Columbia, Canada","(48.4283182, -123.364953)"
Over the North Sea,"(52.9547847, 0.852286)"
"Near Johannisthal, Germany","(52.4469899, 13.5235435)"
"Tienen, Belgium","(50.8074825, 4.9371775)"
"Off Cuxhaven, Germany","(53.86878, 8.698286)"
"Near Jambol, Bulgeria","(-2.2068355, 146.5879881)"
"Billericay, England","(51.6284395, 0.4218142)"
"Potters Bar, England","(51.6958889, -0.1848935)"
"Mainz, Germany","(49.9995205, 8.2736253)"
"Off West Hartlepool, England","(54.6910151, -1.2335364)"
"Near Gent, Belgium","(51.0538286, 3.7250121)"
Off Northern Germany,"(14.7413507, 121.027194)"
"Near Texel Island, North Sea","(32.1291775, -80.7823231)"
"Off Vlieland Island, North Sea","(32.1291775, -80.7823231)"
"Near Yarmouth, England","(52.6071742, 1.7314845)"
Off western Denmark,"(-34.9604365, 117.3551157)"
"Near Luneville, France","(48.5916164, 6.4919563)"
Over the Mediterranean,"(22.3860063, 114.2722546)"
"Off Helgoland Island, Germany","(54.1800452, 7.8853621)"
"Ameland Island, North Sea","(32.1291775, -80.7823231)"
"Elizabeth, New Jersey","(40.6639916, -74.2107006)"
"Cleveland, Ohio","(41.4996574, -81.6936772)"
"Dix Run, Pennsylvania","(40.907199, -77.938042)"
"Chicago, Illinois","(41.8755616, -87.6244212)"
"Verona, Italy","(45.4424977, 10.9857377)"
"Newcastle, England","(54.9738474, -1.6131572)"
"Cantonsville, Maryland",
"English Channel off Forkstone, Kent",
"Long Valley, New Jersey","(40.7816813, -74.7592328)"
"Catherham, Surrey, UK","(51.2715316, -0.3414524)"
"New Paris, Indiana","(41.5045465, -85.8241085)"
"Newark, New Jersey","(40.735657, -74.1723667)"
"Heller Field, New Jersey","(40.9354609, -74.6611513)"
"Oskaloosa, Iowa","(41.2951037, -92.6448451)"
"Cartagena, Columbia","(10.4265566, -75.5441671)"
"Bedford, England","(52.1363806, -0.4675041)"
"College Park, Maryland","(38.980666, -76.9369189)"
"Morristown, New Jersey","(40.7970382, -74.4809868)"
"Pemberville, Ohio","(41.4108855, -83.46104)"
"Hillersburg, Pennsylvania",
"Off Port Vendres, France","(42.5204146, 3.1056167)"
"Valencia, Spain","(39.4697065, -0.3763353)"
"Batavia, Illinois","(41.8500284, -88.3125738)"
"Tie Siding, Wyoming","(41.0812698, -105.5091717)"
"London, England","(51.5074456, -0.1277653)"
"Barcelona, Spain","(41.3828939, 2.1774322)"
"Mendotta, Minnisota",
"La Crosse, Wisconsin","(43.8122836, -91.2514355)"
Off Gibraltar,
"Elko, Nevada","(41.1958128, -115.3272864)"
"Point Cook, Australia","(-37.9064862, 144.7533059)"
"Mitchel Field, NY","(40.7352518, -73.5945918)"
"Rock Springs, Wyoming","(41.5860557, -109.2194544)"
"Toulouse, France","(43.6044622, 1.4442469)"
"River Humber, England","(53.7124015, -0.3652257)"
"Paris, France","(48.8588897, 2.320041)"
"Near Murchinson River, Australia","(-31.9655794, 152.4174208)"
"Near Norfolk, Virginia","(36.8493695, -76.2899539)"
North Atlantic Ocean,"(40.0, -40.0)"
"Grandvilliers, France","(49.6647765, 1.9428278)"
"Pao Ting Fou, China","(25.0363006, 102.7086139)"
"Off Folkestone, Kent, England","(51.0791366, 1.1841744)"
"Fuhlsbuttel, Germany","(53.6323399, 10.0233695)"
"Near Saverne, Lorraine, France","(48.7419909, 7.3625953)"
"Cadix, Spain","(36.5297438, -6.2928976)"
"Indianapolis, Indiana","(39.7683331, -86.1583502)"
"Venice, Italy","(45.4371908, 12.3345898)"
"Larache, Morocco","(35.1952327, -6.152913)"
"Fez, Morocco","(34.0346534, -5.0161926)"
"Ajaccio, France","(41.9263991, 8.7376029)"
