Origin,Dest,Count,Distance_km,Route,Origin_Name,Origin_City,Origin_Country,Origin_Lat,Origin_Long,Dest_Name,Dest_City,Dest_Country,Dest_Lat,Dest_Long
ABE,ALB,2,167.0,ABE-ALB,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Albany Cty,Albany,USA,42.74811944,-73.80297861
ABE,ATL,15565,692.0,ABE-ATL,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,William B Hartsfield-Atlanta Intl,Atlanta,USA,33.64044444,-84.42694444
ABE,AVP,1588,50.0,ABE-AVP,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,USA,41.33814944,-75.7242675
ABE,AZO,1,536.0,ABE-AZO,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Kalamazoo County,Kalamazoo,USA,42.234875,-85.5520575
ABE,BDL,1,169.0,ABE-BDL,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Bradley International,Windsor Locks,USA,41.93887417,-72.68322833
ABE,BHM,1,792.0,ABE-BHM,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Birmingham International,Birmingham,USA,33.56294306,-86.75354972
ABE,BWI,2509,121.0,ABE-BWI,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Baltimore-Washington International,Baltimore,USA,39.17540167,-76.66819833
ABE,CLE,5292,339.0,ABE-CLE,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Cleveland-Hopkins Intl,Cleveland,USA,41.41089417,-81.84939667
ABE,CLT,6788,481.0,ABE-CLT,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Charlotte/Douglas International,Charlotte,USA,35.21401111,-80.94312583
ABE,CVG,6517,503.0,ABE-CVG,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Cincinnati Northern Kentucky Intl,Covington,USA,39.04614278,-84.6621725
ABE,DCA,381,151.0,ABE-DCA,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Ronald Reagan Washington National,Arlington,USA,38.85208333,-77.03772222
ABE,DTW,16496,424.0,ABE-DTW,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Detroit Metropolitan-Wayne County,Detroit,USA,42.21205889,-83.34883583
ABE,FWA,2,511.0,ABE-FWA,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Fort Wayne International,Fort Wayne,USA,40.97846583,-85.19514639
ABE,GRR,1,543.0,ABE-GRR,Lehigh Valley International,Allentown,USA,40.65236278,-75.44040167,Kent County International,Grand Rapids,USA,42.88081972,-85.52276778
